Name of Book,About,Recall Date,Record Date,Session 1,Session 10,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9
"You won’t encounter accidental good fortune—you won’t stumble upon opportunities that rocket your career forward—if you’re lying in bed. \\\\\ /////When you do something, you stir the pot and introduce the possibility that seemingly random ideas, people, and places will collide and form new combinations and opportunities.",Career,"October 6, 2023","January 10, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,
“The best way to ensure that lucky things happen is to make sure a lot of things happen.”,Mindset,"March 31, 2024","January 10, 2023",5 Days,182 Days,5 Days,7 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days
"They folded the boxes in their kitchen, filled ’em with cereal, and sold them online for $40 a pop. Chesky remembers his mom asking him, “So, you’re running a cereal company now?” No, they just needed cash—any cash would do. CNN ran a story on the election-season bites, and it wasn’t long before they sold out of Obama O’s, netting $20,000 in profit. ///// When Amazon CEO Jeff Bezos was looking for a wife, he told friends who were setting him up on dates that he wanted a woman who was resourceful. But they didn’t get it. So he told them, “I want a woman who could help me get out of a Third World prison!”",Mindset,"August 15, 2023","January 10, 2023",7 Days,,15 Days,15 Days,30 Days,30 Days,60 Days,60 Days,,
"Rather than avoiding risk, if you take intelligent risks, it will give you a competitive edge.",Mindset,"April 7, 2024","January 11, 2023",15 Days,,15 Days,15 Days,15 Days,30 Days,60 Days,120 Days,182 Days,
"If the worst-case scenario happens, would I still be in the game? If the worst-case scenario is the serious tarnishing of your reputation, or loss of all your economic assets, or something otherwise career-ending, don’t accept that risk. If the worst-case scenario is getting fired, losing a little bit of time or money, or experiencing discomfort, as long as you have a solid and reliable Plan Z in place, you will still be in the game, and should be open to taking on that risk.",Risk-taking,"March 22, 2024","January 11, 2023",2Days,,5 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days,182 Days
"When it’s not clear how something will play out, many people avoid it altogether. But the biggest and best opportunities frequently are the ones with the most question marks. Don’t let uncertainty lull you into overestimating the risk.",Risk-taking,"November 6, 2023","January 11, 2023",2Days,,5 Days,7 Days,15 Days,30 Days,60 Days,60 Days,120 Days,
"If something worthwhile will be riskier in five years than it is now, be more aggressive about taking it on now. As you age and build more assets, your risk tolerance shifts.",Risk-taking,"October 5, 2023","January 11, 2023",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
"In public market investing, as in many things, you achieve big success when you’re both contrarian and right.",Risk-taking,"March 22, 2024","January 11, 2023",2Days,,5 Days,7 Days,15 Days,15 Days,30 Days,60 Days,120 Days,182 Days
"Experienced entrepreneurs know that in reality starting a company in a down economy has a lower risk than people think, precisely because other people are scared off by the risk. When you start a company in a recession there’s less competition for top-notch talent, customer dollars, press coverage, and more. Many incredible companies, such as Microsoft and FedEx, were started in the depths of a recession. That so many entrepreneurs perceive recession timing as high-risk actually makes it lower-risk.",Risk-taking,"October 30, 2023","January 11, 2023",7 Days,,15 Days,30 Days,60 Days,60 Days,120 Days,,,
"By introducing regular volatility into your career, you make surprise survivable. You gain the “ability to absorb shocks gracefully.”8",Risk-taking,"October 5, 2023","January 11, 2023",5 Days,,7 Days,15 Days,30 Days,30 Days,60 Days,120 Days,,
